wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/seohy/.netrc.
wandb: Currently logged in as: ohseohyun0531 (ohseohyun0531-kwangwoon-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run w7d5h0ij
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/seohy/colcon_ws/src/Adaptive_Cost_MPC/wandb/run-20260726_182331-w7d5h0ij
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run postfix-v1-residual-curriculum
wandb: ⭐️ View project at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch
wandb: 🚀 View run at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch/runs/w7d5h0ij
episodes 2380-2399: success_rate=0.950 mean_reward=795.80 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2400-2419: success_rate=0.950 mean_reward=790.94 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2420-2439: success_rate=0.850 mean_reward=637.02 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2440-2459: success_rate=0.900 mean_reward=785.32 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2460-2479: success_rate=0.850 mean_reward=779.14 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2480-2499: success_rate=0.900 mean_reward=745.31 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2500-2519: success_rate=0.850 mean_reward=772.24 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
episodes 2520-2539: success_rate=0.950 mean_reward=781.25 mean_actor_loss=0.0123 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2540-2559: success_rate=0.800 mean_reward=736.32 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.667
episodes 2560-2579: success_rate=0.900 mean_reward=732.93 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2580-2599: success_rate=0.900 mean_reward=776.74 mean_actor_loss=0.0123 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2600-2619: success_rate=0.850 mean_reward=722.78 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2620-2639: success_rate=1.000 mean_reward=825.32 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2640-2659: success_rate=0.850 mean_reward=793.09 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2660-2679: success_rate=0.850 mean_reward=768.49 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2680-2699: success_rate=0.850 mean_reward=736.49 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 283592-283763, summary, console lines 134-134
wandb: 
wandb: Run history:
wandb: actor/mean_abs_residual_relative ▂▂▅▄▄▃▃▂▄▆▃▂▁▂▂▅▄▅▂▂▁▄█▃▃▄▃▃▅▄▃▃▃▃▄█▂▂▅▂
wandb:          catch/bilateral_contact ███▁██▁█▁██▁██████▁██▁███▁██████████████
wandb:               catch/box_velocity ▁▁▁▁▁▂▁▂▁▁█▁▁▂▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▁▂▁▁▁▁▅▂▂
wandb:          catch/left_normal_force ▁█▅▇▅▅▆▁▅▅▅▆▅▅▁▅▁▁▁▆▁▅▅▅▆▇▅▅▇▆▅▆▆▅▆▆▅▇▆▆
wandb:         catch/right_normal_force ▄▄▄▄▅▄▅▅█▁▄▁▄▄▄▅▅▅▆▄▄▄▅▄▃▅▄▁▄▄▃▄▄▅▄▄▄▄▄▄
wandb:            eval/impact_safe_rate ████████████████████████████████████▁███
wandb:              eval/mean_hold_time ▅▅▅▇▅█▇▂▅▅▁▂▂▄▅▇▇▄▅█▇█▂█▁▇▁▄▇▄█▇▄▇▄▂▄▅▅▄
wandb:            eval/stable_hold_rate ▆▆▆▅▅▆▅▆▅▇▁▃▅▆█▅▇▇▅▃▅▇▃▅▆▅▅▁▇▆█▅▆█▁▇▇▇▇▅
wandb:                eval/success_rate ▆▆▃▆▆▆▆▆█▅▆▃▅▆▅▆▃▆██▅▇▃▆▆▃▃▇▁▅▃▅█▅▃▅▅▅▇█
wandb:             failure/contact_loss ▁▁▁▁
wandb:                              +42 ...
wandb: 
wandb: Run summary:
wandb: actor/mean_abs_residual_relative 0.028
wandb:          catch/bilateral_contact 0
wandb:               catch/box_velocity 3.62137
wandb:          catch/left_normal_force 0
wandb:         catch/right_normal_force 0
wandb:              catch/slip_velocity nan
wandb:            eval/impact_safe_rate 1
wandb:              eval/mean_hold_time 4.4805
wandb:            eval/stable_hold_rate 0.85
wandb:                eval/success_rate 0.85
wandb:                              +42 ...
wandb: 
wandb: 🚀 View run postfix-v1-residual-curriculum at: https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch/runs/w7d5h0ij
wandb: ⭐️ View project at: https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch
wandb: Synced 5 W&B file(s), 0 media file(s), 0 artifact file(s) and 0 other file(s)
wandb: Find logs at: ./wandb/run-20260726_182331-w7d5h0ij/logs
Traceback (most recent call last):
  File "/home/seohy/colcon_ws/src/Adaptive_Cost_MPC/acmpc/main_acmpc_box_catch_curriculum.py", line 518, in <module>
    main()
    ~~~~^^
  File "/home/seohy/colcon_ws/src/Adaptive_Cost_MPC/acmpc/main_acmpc_box_catch_curriculum.py", line 489, in main
    summary = run_curriculum_box_catch(
        CurriculumBoxCatchConfig(
    ...<11 lines>...
        )
    )
  File "/home/seohy/colcon_ws/src/Adaptive_Cost_MPC/acmpc/main_acmpc_box_catch_curriculum.py", line 259, in run_curriculum_box_catch
    summary = run_box_catch(
        episode_config,
        wandb_logger=wandb_logger,
        global_step_start=global_step,
    )
  File "/home/seohy/colcon_ws/src/Adaptive_Cost_MPC/acmpc/main_acmpc_box_catch.py", line 1927, in run_box_catch
    latest_update = learner.update(
        rollout,
        online=not config.offline_training,
        next_value=bootstrap_value,
    )
  File "/home/seohy/colcon_ws/src/Adaptive_Cost_MPC/control/mpc/online_actor_critic.py", line 889, in update
    self.critic_optimizer.step()
    ~~~~~~~~~~~~~~~~~~~~~~~~~~^^
  File "/home/seohy/miniconda3/lib/python3.13/site-packages/torch/optim/optimizer.py", line 517, in wrapper
    out = func(*args, **kwargs)
  File "/home/seohy/miniconda3/lib/python3.13/site-packages/torch/optim/optimizer.py", line 82, in _use_grad
    ret = func(*args, **kwargs)
