wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/seohy/.netrc.
wandb: Currently logged in as: ohseohyun0531 (ohseohyun0531-kwangwoon-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run wjyrzjoc
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/seohy/colcon_ws/src/Adaptive_Cost_MPC/wandb/run-20260726_232348-wjyrzjoc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run postfix-v3-hard-domain
wandb: ⭐️ View project at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch
wandb: 🚀 View run at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch/runs/wjyrzjoc
episodes 2460-2479: success_rate=0.850 mean_reward=768.19 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2480-2499: success_rate=0.900 mean_reward=744.30 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2500-2519: success_rate=0.800 mean_reward=656.21 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 2520-2539: success_rate=0.900 mean_reward=573.15 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2540-2559: success_rate=0.800 mean_reward=689.36 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 2560-2579: success_rate=0.900 mean_reward=687.22 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2580-2599: success_rate=0.850 mean_reward=659.25 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2600-2619: success_rate=0.900 mean_reward=741.22 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2620-2639: success_rate=0.950 mean_reward=814.60 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2640-2659: success_rate=0.800 mean_reward=683.46 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2660-2679: success_rate=0.850 mean_reward=752.00 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2680-2699: success_rate=0.900 mean_reward=736.18 mean_actor_loss=0.0123 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2700-2719: success_rate=0.750 mean_reward=633.87 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2720-2739: success_rate=0.850 mean_reward=703.06 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 2740-2759: success_rate=0.700 mean_reward=629.22 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 2760-2779: success_rate=0.900 mean_reward=744.31 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2780-2799: success_rate=0.900 mean_reward=702.28 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2800-2819: success_rate=0.900 mean_reward=776.63 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2820-2839: success_rate=0.900 mean_reward=780.25 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2840-2859: success_rate=0.850 mean_reward=617.41 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2860-2879: success_rate=0.800 mean_reward=757.46 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2880-2899: success_rate=0.950 mean_reward=706.23 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2900-2919: success_rate=0.850 mean_reward=786.42 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2920-2939: success_rate=0.950 mean_reward=796.52 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2940-2959: success_rate=0.950 mean_reward=811.33 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2960-2979: success_rate=0.850 mean_reward=749.09 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2980-2999: success_rate=0.750 mean_reward=683.90 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 315850-316102, summary
wandb: 
wandb: Run history:
wandb: actor/mean_abs_residual_relative ▂▅▁▂▂▂▂▁▂▁▁▂▂▁▂▂▄▂▂▂█▄▃▃▃▂█▄▃▄▂▃▄▃▁▄▄▂▁▅
wandb:          catch/bilateral_contact ███▁▁████████▁███████████▁███▁██████████
wandb:               catch/box_velocity ▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:          catch/left_normal_force ▆▆▅▅▆▄▁▅▆▅█▁▆▁▇▆▆▅▆▅▅▆▁▆▁▆▆▆▆▇▆▆▅▄▅▅▁▆▆▁
wandb:         catch/right_normal_force ▇▆▅▅▆▅▇▆█▆▆▁▁█▅▇▆▇▆▁█▆▅▆▇▅▆▆▆▅▆█▆▁▆▆▆▇▁▁
wandb:            eval/impact_safe_rate █▆████▆▃█▆█▆▆███▆██▆▃███▆▆▁█▆█▆███▆▆█▆█▆
wandb:              eval/mean_hold_time ▅▄▇▇▇▄▇▅▇▅▇▇▄▅▅▅█▂▅▇▂▅▂▅▁█▄▅▇▁▇▁▇▄█▅▇▄▁▇
wandb:            eval/stable_hold_rate ▄▅▇▂▅▄▄▄█▄██▇▇▅▄█▇▁▄▇▁▇▂▅▁▇▇▄█▅▇▄▅▁█▇▄▅█
wandb:                eval/success_rate ▅▅▃▆▅▅▄▄▇▄▇▅█▅▅▇▅▅▇▅▁▂▄▅▂▄▃▆▂▄▅▂▆▆▅▃▂▆▅▃
wandb:             failure/contact_loss ▁▁
