condition,seed,phase,cost,residual_median,residual_p05,residual_p95,residual_absolute_median,maximum_absolute_residual,prior_ratio_mean,prior_ratio_median,prior_ratio_p05,prior_ratio_p95
D1,7,capture,smoothness,0.04320270612913577,-0.40022089366505514,0.40181873064511736,0.3871625401642113,0.5238896385274874,1.009580836875105,1.0432027061291358,0.5997791063349449,1.401818730645117
D1,7,hold,object,0.16290671013125121,0.1037183875814209,0.2046635919365095,0.2773919103961143,0.36354486578301276,1.1590328850467946,1.1629067101312514,1.103718387581421,1.2046635919365094
D1,7,hold,grasp,-0.28818329864403824,-0.3363943320362318,-0.2619986424750873,0.3158880274924494,0.3980699864605868,0.7067884548964292,0.7118167013559616,0.6636056679637682,0.7380013575249128
D1,7,hold,compression,-0.2541036687891629,-0.30842273436054546,-0.2015339566384123,0.2894301258403415,0.36883629393921247,0.7452814627107721,0.745896331210837,0.6915772656394544,0.7984660433615877
D1,7,hold,velocity,-0.1951745160794966,-0.32561127916143423,0.3817583085255573,0.33749025106643277,0.47853082849219764,0.9032919500001793,0.8048254839205035,0.6743887208385657,1.381758308525557
D1,7,hold,smoothness,0.10401058369447788,-0.31735471063282017,0.371378863413917,0.29162093771530956,0.5025468117465993,1.0544527672212822,1.1040105836944778,0.6826452893671798,1.3713788634139168
D1,17,intercept,object,0.4488896686633428,0.428294560233752,0.5856685685078304,0.5224472503662109,0.5988682448069255,1.4646070829534283,1.4488896686633428,1.4282945602337518,1.5856685685078304
D1,17,intercept,grasp,0.24571106044769286,0.05186935756683351,0.3441960152740478,0.4160486881637573,0.5192791857910156,1.2319930786413533,1.2457110604476929,1.0518693575668336,1.3441960152740478
D1,17,intercept,compression,-0.2959454844844269,-0.5059700831998872,-0.23715384378148105,0.34977758531790104,0.5546977950491339,0.6854629335933172,0.7040545155155731,0.4940299168001128,0.7628461562185188
D1,17,intercept,velocity,0.07303737580776215,-0.5532568906992674,0.28346651078760626,0.46291424505412576,0.5902795177698136,0.9717647274098462,1.073037375807762,0.44674310930073263,1.2834665107876062
D1,17,intercept,smoothness,-0.30300000272877514,-0.5621429219895165,0.4373360758951146,0.43042500616349266,0.6052082163436977,0.8514946416785506,0.6969999972712249,0.43785707801048346,1.4373360758951146
D1,17,pre_impact,object,0.4410572551091512,0.40836213040351865,0.4574591635862986,0.5017384832700094,0.5203941750526428,1.4364391102169436,1.4410572551091512,1.4083621304035185,1.4574591635862988
D1,17,pre_impact,grasp,0.23922455722808839,0.20326764173507691,0.3384171708831787,0.38940443828582766,0.4431018495178223,1.2496709998294575,1.2392245572280884,1.203267641735077,1.338417170883179
D1,17,pre_impact,compression,-0.27031812086295476,-0.31751829308226825,-0.21714960801582087,0.31736204739266866,0.3657131971762496,0.7316036858176141,0.7296818791370453,0.6824817069177317,0.782850391984179
D1,17,pre_impact,velocity,0.08883835601840827,-0.47883895614610367,0.2780895255426503,0.43212410798493267,0.5090241055035595,0.9986931694175731,1.088838356018408,0.5211610438538963,1.2780895255426503
D1,17,pre_impact,smoothness,-0.2697438752335657,-0.5161222023791894,0.4102168356190703,0.4027343219910181,0.5255284490637457,0.8594975207933004,0.7302561247664343,0.4838777976208107,1.4102168356190703
D1,17,capture,object,-0.35657575740183306,-0.4365276555735881,-0.31569329640219723,0.5339918811040464,0.5541019047153278,0.6402837194638674,0.6434242425981669,0.5634723444264119,0.6843067035978028
D1,17,capture,grasp,0.303207138546497,0.08322178680323808,0.4113218224967058,0.41081777486607324,0.45759431093956476,1.279041181226827,1.3032071385464972,1.0832217868032383,1.4113218224967057
D1,17,capture,compression,0.3315895107984496,0.29419371784794307,0.4102999115940776,0.4916963378965115,0.5148351206224193,1.3359255234728014,1.3315895107984497,1.2941937178479432,1.4102999115940777
D1,17,capture,velocity,0.33764435956984756,-0.11245470884988998,0.47554769617126624,0.500034483045338,0.5479881321003027,1.2876474937342537,1.3376443595698477,0.8875452911501099,1.4755476961712664
D1,17,capture,smoothness,0.2645269960267012,-0.502498618203959,0.5548536453040467,0.5062281542545378,0.5782060873195188,1.1204238628017,1.264526996026701,0.4975013817960409,1.5548536453040467
D1,17,hold,object,-0.19240978388963986,-0.46232137038080867,-0.05966006720803806,0.4066904927296927,0.5565734475129062,0.7715099932593573,0.8075902161103601,0.5376786296191913,0.9403399327919622
