condition,seed,episode,term,mean,std,min,max,updates
D3,7,399,policy_surrogate_loss,4.53155774333e-08,2.15443412332e-07,-1.03563070298e-07,1.31212174892e-06,39
D3,17,0,total_actor_loss,0.0125268417433,3.04275708575e-07,0.0125257410109,0.0125274555758,41
D3,17,0,entropy_bonus,0.0125268281378,3.00470472545e-07,0.0125257177353,0.0125273580551,41
D3,17,0,policy_surrogate_loss,1.36054870555e-08,9.49834931206e-08,-2.11887061596e-07,1.94683670997e-07,41
D3,17,100,total_actor_loss,0.0120611895755,0.00203871320972,0,0.0124070122838,36
D3,17,100,entropy_bonus,0.012061214606,0.00203871744343,-0,0.0124069375992,36
D3,17,100,policy_surrogate_loss,-2.50304324761e-08,1.19693163438e-07,-3.94664704801e-07,1.88410282135e-07,36
D3,17,200,total_actor_loss,0.0122796410525,9.42278583413e-07,0.0122785614803,0.0122822755948,44
D3,17,200,entropy_bonus,0.0122796135599,8.60383488597e-07,0.0122786340714,0.012281414032,44
D3,17,200,policy_surrogate_loss,2.74926424024e-08,1.59881169717e-07,-1.74827873707e-07,8.61562788486e-07,44
D3,17,300,total_actor_loss,0.0122375604031,5.5270160929e-07,0.0122365346178,0.0122383832932,7
D3,17,300,entropy_bonus,0.0122374207633,8.40868445285e-08,0.0122373275757,0.0122375335693,7
D3,17,300,policy_surrogate_loss,1.39639845916e-07,5.41949167959e-07,-9.53175127506e-07,8.49723815918e-07,7
D3,17,399,total_actor_loss,0.0121930510634,1.5900499797e-06,0.0121912043542,0.0121963964775,9
D3,17,399,entropy_bonus,0.0121928697162,1.16367035545e-06,0.0121910543442,0.0121945486069,9
D3,17,399,policy_surrogate_loss,1.81347131729e-07,7.41282923708e-07,-1.09432637692e-06,1.84787064791e-06,9
D3,27,0,total_actor_loss,0.012520615284,2.14897323064e-06,0.0125185297802,0.0125256851315,41
D3,27,0,entropy_bonus,0.0125206100185,2.16503095239e-06,0.0125185079575,0.0125257177353,41
D3,27,0,policy_surrogate_loss,5.26556154556e-09,1.94479209242e-07,-1.71110033989e-07,1.10495090485e-06,41
D3,27,100,total_actor_loss,0.0124131431168,5.77421887503e-07,0.0124118346721,0.0124142430723,44
D3,27,100,entropy_bonus,0.0124132854072,4.81015149246e-07,0.0124124345779,0.0124143590927,44
D3,27,100,policy_surrogate_loss,-1.42290341584e-07,4.07732595001e-07,-1.09425932169e-06,7.68177211284e-07,44
D3,27,200,total_actor_loss,0.012237874281,1.0048829642e-06,0.0122367870063,0.0122404070571,42
D3,27,200,entropy_bonus,0.0122378606115,9.91543627762e-07,0.0122367868423,0.012240020752,42
D3,27,200,policy_surrogate_loss,1.3669509263e-08,1.78829978339e-07,-9.00894403457e-07,4.62599098682e-07,42
D3,27,300,total_actor_loss,0.0120383534425,2.99300278152e-07,0.012038028799,0.0120398886502,36
