condition,seed,phase,cost,horizon,weight_mean
D0,27,hold,object,3,59.843476179403396
D0,27,hold,object,4,59.81471085127497
D0,27,hold,object,5,59.77991713656191
D0,27,hold,object,6,59.73727662249967
D0,27,hold,object,7,59.68619098937554
D0,27,hold,grasp,0,21.040342349786098
D0,27,hold,grasp,1,21.044300452211804
D0,27,hold,grasp,2,21.04643689893719
D0,27,hold,grasp,3,21.04802627296432
D0,27,hold,grasp,4,21.049350793603328
D0,27,hold,grasp,5,21.050409670290392
D0,27,hold,grasp,6,21.05117158766345
D0,27,hold,grasp,7,21.051645828913532
D0,27,hold,compression,0,64.66279790981557
D0,27,hold,compression,1,64.65795652668304
D0,27,hold,compression,2,64.65329319116962
D0,27,hold,compression,3,64.64897752838586
D0,27,hold,compression,4,64.64526265990412
D0,27,hold,compression,5,64.64224634640684
D0,27,hold,compression,6,64.64001692590776
D0,27,hold,compression,7,64.63846309267375
D0,27,hold,velocity,0,1.9835741185442235
D0,27,hold,velocity,1,1.9922709345163814
D0,27,hold,velocity,2,2.0067415548759384
D0,27,hold,velocity,3,2.009169486167727
D0,27,hold,velocity,4,2.0088235933140863
D0,27,hold,velocity,5,2.008558675854475
D0,27,hold,velocity,6,2.008172399668887
D0,27,hold,velocity,7,2.0068148067999343
D0,27,hold,smoothness,0,1.488204779090866
D0,27,hold,smoothness,1,1.4878642825792425
D0,27,hold,smoothness,2,1.4889703475168845
D0,27,hold,smoothness,3,1.4904663607138355
D0,27,hold,smoothness,4,1.4939439573114242
D0,27,hold,smoothness,5,1.4963406266067996
D0,27,hold,smoothness,6,1.4964913486449818
D0,27,hold,smoothness,7,1.4970639890783917
D1,7,intercept,object,0,42.25653015925748
D1,7,intercept,object,1,41.85437340224751
D1,7,intercept,object,2,41.699003461868195
D1,7,intercept,object,3,41.569292578575535
D1,7,intercept,object,4,41.40800984791031
D1,7,intercept,object,5,41.19203298238739
D1,7,intercept,object,6,40.89446760007022
D1,7,intercept,object,7,40.48009267162517
D1,7,intercept,grasp,0,177.84100787907326
D1,7,intercept,grasp,1,175.21176631117555
D1,7,intercept,grasp,2,175.27757991851706
D1,7,intercept,grasp,3,176.24629954649907
D1,7,intercept,grasp,4,177.01803891563657
D1,7,intercept,grasp,5,177.4746053713513
D1,7,intercept,grasp,6,177.75717507126498
D1,7,intercept,grasp,7,177.97512286644988
D1,7,intercept,compression,0,0.03857961718282222
D1,7,intercept,compression,1,0.03868443036731166
D1,7,intercept,compression,2,0.038955542662321624
D1,7,intercept,compression,3,0.03923945440951219
D1,7,intercept,compression,4,0.039438617122176646
D1,7,intercept,compression,5,0.03955103537463663
D1,7,intercept,compression,6,0.03961366233686196
D1,7,intercept,compression,7,0.03964751575621709
D1,7,intercept,velocity,0,4.064817371481294
D1,7,intercept,velocity,1,3.4640907665557474
D1,7,intercept,velocity,2,2.683065090316908
D1,7,intercept,velocity,3,2.6492564089501855
D1,7,intercept,velocity,4,2.6594279665561396
D1,7,intercept,velocity,5,2.6769944373983026
D1,7,intercept,velocity,6,2.692855065153934
D1,7,intercept,velocity,7,2.6973193227360777
D1,7,intercept,smoothness,0,0.3999859118688957
D1,7,intercept,smoothness,1,0.4342378524271587
D1,7,intercept,smoothness,2,0.41828180324282543
D1,7,intercept,smoothness,3,0.3753686058141601
D1,7,intercept,smoothness,4,0.28518524656051397
D1,7,intercept,smoothness,5,0.2745378323431292
